Distance(mm),Time(ms),Hilbert Amptitude(mV)
160,0.3854,124.00241785076045
160,0.38544,124.0032413467808
160,0.38548,125.00013507756118
160,0.38552,124.00043111704055
160,0.38556,124.00001259554799
160,0.3856,124.00008401754916
160,0.38564,124.00129555289351
160,0.38568,125.00033056878193
160,0.38572,124.00166470653662
160,0.38576,124.00074116669205
160,0.3858,124.00010292871156
160,0.38584,124.00322087911933
160,0.38588,125.00000020812075
160,0.38592,124.00047520289405
160,0.38596,124.00008113605998
160,0.386,124.000058482409
160,0.38604,124.0015161298033
160,0.38608,125.0002679805815
160,0.38612,124.00154579921389
160,0.38616,124.00063522387194
160,0.3862,124.00009434865221
160,0.38624,124.00297945707915
160,0.38628,125.00000102484884
160,0.38632,124.0005801557096
160,0.38636,124.00005001488094
160,0.3864,124.00002759150176
160,0.38644,124.00113556911056
160,0.38648,125.00019251670903
160,0.38652,124.00438573539599
160,0.38656,123.00051346831586
160,0.3866,124.00507082888151
160,0.38664,125.0026590982531
160,0.38668,125.00075682714933
160,0.38672,124.00073794575826
160,0.38676,124.00000826591824
160,0.3868,124.00000288562018
160,0.38684,124.00125945824817
160,0.38688,125.00008678810603
160,0.38692,124.001765727918
160,0.38696,124.00022304547015
160,0.387,124.00014639733504
160,0.38704,124.0005127133163
160,0.38708,124.00000945283129
160,0.38712,124.00266756906882
160,0.38716,125.00003327538096
160,0.3872,124.00072658585842
160,0.38724,124.00123654856857
160,0.38728,125.00000963352481
160,0.38732,124.00190269083194
160,0.38736,124.00021418970066
160,0.3874,124.00021081281517
160,0.38744,124.00199184215589
160,0.38748,125.00003874848437
160,0.38752,124.00116434126716
160,0.38756,124.00000295238247
160,0.3876,124.00002819892705
160,0.38764,124.0008878069163
160,0.38768,125.00000528723879
160,0.38772,124.00262667007718
160,0.38776,124.00007868829431
160,0.3878,124.00075225457621
160,0.38784,124.00109011001874
160,0.38788,125.00208999655922
160,0.38792,123.00526701830125
160,0.38796,123.00188883434743
160,0.388,124.00150062066174
160,0.38804,124.00203389454285
160,0.38808,125.00053781797305
160,0.38812,124.00159011337689
160,0.38816,124.00227964984363
160,0.3882,125.00020250895923
160,0.38824,124.00113044102892
160,0.38828,124.00008910597755
160,0.38832,124.00004461776663
160,0.38836,124.0000540518754
160,0.3884,124.00000122332419
160,0.38844,124.00003786077563
160,0.38848,124.0000022237661
160,0.38852,124.00002877438213
160,0.38856,124.00000993714883
160,0.3886,124.00002317211256
160,0.38864,124.00001995191957
160,0.38868,124.00001963638644
160,0.38872,124.00003285570902
160,0.38876,124.00001756665735
160,0.3888,124.00005246091477
160,0.38884,124.00001678689637
160,0.38888,124.00009182102619
160,0.38892,124.00001750253183
160,0.38896,124.00021851352297
160,0.389,124.00002058149352
160,0.38904,124.00170099994074
160,0.38908,125.00002849311691
160,0.38912,124.00164802567518
160,0.38916,124.00005183331078
160,0.3892,124.00024592818095
160,0.38924,124.00014634282556
160,0.38928,124.00023776686339
160,0.38932,124.00148351668763
160,0.38936,123.00159686718685
160,0.3894,123.00185751061849
160,0.38944,124.00181499630821
160,0.38948,124.00027738653021
160,0.38952,124.00028079464856
160,0.38956,124.00014593808173
160,0.3896,124.0001501617074
160,0.38964,124.00011655659196
160,0.38968,124.00011525435822
160,0.38972,124.00011843728547
160,0.38976,124.00010473635547
160,0.3898,124.00014528679276
160,0.38984,124.00010556984519
160,0.38988,124.00021784405176
160,0.38992,124.00011584166815
160,0.38996,124.00044860770596
160,0.39,124.00013988287967
160,0.39004,124.00253250155708
160,0.39008,125.00019397662624
160,0.39012,124.00063011992474
160,0.39016,124.00037100425767
160,0.3902,124.00084542570022
160,0.39024,125.00211066641691
160,0.39028,125.00205683845608
160,0.39032,124.00121029914152
160,0.39036,124.00017890851416
160,0.3904,124.00006227147948
160,0.39044,124.00021483053197
160,0.39048,125.00000641486098
